transaction_id,user_id,amount,hour,device_risk_score,ip_risk_score,transaction_type,merchant_category,country,is_fraud
5140469,953,93.22700832042902,9,0.07968233488781745,0.2714519291829384,ATM,Travel,FR,0
9606001,189,77.85490355257767,23,0.02961126517967152,0.05010696292695693,ATM,Electronics,US,0
577834,451,56.96314678561015,16,0.013082638620794812,0.09379968564754837,Online,Clothing,UK,0
1192751,58,1.0,12,0.17490003027624662,0.02899492281200854,QR,Electronics,US,0
16572070,50,31.650773089328737,20,0.13027504824315964,0.1305029993862198,Online,Food,DE,0
12748758,884,58.984294373778525,16,0.062242513434921154,0.24191843404885466,ATM,Travel,UK,0
9186824,195,1606.7628600548023,5,0.7955130497955967,0.7960159525406959,QR,Grocery,US,1
11796730,365,16.117231719957516,23,0.04199526631673266,0.19899154172494857,POS,Travel,FR,0
6430425,230,137.31378128247923,11,0.12569037675065955,0.20375370586607036,ATM,Travel,FR,0
4076185,202,110.69497901819186,8,0.08231169627868205,0.14822996194064397,Online,Electronics,FR,0
2826117,3,80.29733312480815,12,0.015692191239083286,0.20705018772371164,ATM,Food,FR,0
13305354,48,133.92816772647376,19,0.07958080482777737,0.12591440470075693,QR,Clothing,UK,0
1214534,887,134.80521577345826,23,0.06592840091136469,0.15054209937423996,ATM,Travel,UK,0
1052228,157,112.21435297243701,17,0.05484349921109938,0.15545211846118623,POS,Food,UK,0
11028839,177,113.59302382803885,18,0.0672638291068641,0.19322237149630822,ATM,Travel,US,0
8705484,937,69.07662933617729,17,0.22830885876783721,0.18398185749715293,ATM,Travel,TR,0
2086100,761,39.9800799146886,7,0.09508340031994911,0.0461950872100526,POS,Clothing,TR,0
12913038,908,52.65347773897377,18,3.0274785175044003e-05,0.28794863758630285,QR,Grocery,US,0
10070326,794,41.42040566015384,16,0.03970305672465364,0.054252330271850654,Online,Travel,US,0
2285844,286,98.12792626424387,11,0.07295283331477288,0.2789839758098098,ATM,Clothing,FR,0
4415929,261,91.04780714582465,22,0.014973348726972853,0.21605261684464497,QR,Electronics,US,0
3526327,553,48.065724179450314,10,0.7308986202165189,0.9996026492679309,ATM,Travel,US,1
16493894,614,146.4482793718092,18,0.026358153819756647,0.15453100929680724,ATM,Electronics,US,0
13187625,745,53.47239257024055,15,0.053181618888844054,0.04765825580585515,QR,Travel,DE,0
8358030,110,137.76800694975947,11,0.2701764113200004,0.09681411260271817,Online,Travel,US,0
11043562,69,89.50579327637442,21,0.22419368975393558,0.07556632395327006,ATM,Clothing,UK,0
8049233,279,95.77038520479469,16,0.07450190425479118,0.18107732572059404,Online,Electronics,US,0
4798301,82,89.85704488203908,15,0.2397789404286636,0.1800755066557784,POS,Travel,FR,0
15305682,253,54.09627992720686,15,0.07386195981600722,0.02565618844097598,QR,Clothing,FR,0
13317661,117,52.75875426899552,16,0.028105977735645906,0.2607352399256609,POS,Electronics,UK,0
10245424,11,69.4470564805797,10,0.15627114470100295,0.0327277123188573,POS,Travel,FR,0
9950402,532,3325.9830132877496,9,0.7930976205123264,0.8807472928763292,POS,Clothing,NG,1
5968816,437,119.26173605569484,18,0.09482672303112259,0.12873184948716626,QR,Electronics,US,0
4756993,930,29.008085401415826,18,0.2798552041411149,0.03222387892027674,QR,Food,US,0
9243812,393,93.87524268738878,13,0.2106687028389531,0.15521496696661286,POS,Grocery,UK,0
12771345,747,2504.0372408501626,7,0.8365470749184538,0.7785708644047269,Online,Travel,US,1
15305547,389,81.21306244086753,14,0.20594648204796362,0.10768763638391365,QR,Electronics,DE,0
10417186,950,49.40713104373103,17,0.10846285149673353,0.18976615285235773,QR,Food,TR,0
12111828,468,21.360193631505844,17,0.774714673906123,0.29716413934041414,QR,Clothing,TR,0
874482,608,131.15555693067907,22,0.04633538289667373,0.18264930327661247,ATM,Travel,FR,0
13261456,199,45.67517415531335,17,0.27754922118041087,0.20984344743884326,POS,Travel,US,0
3930949,696,34.20024712061195,11,0.07337363388095658,0.04025069485552044,QR,Food,DE,0
3662669,967,104.58294338776349,16,0.15617464527792416,0.1234907526409533,ATM,Travel,US,0
15345035,56,117.24930106370219,14,0.1716629513487793,0.041083220349362334,QR,Electronics,UK,0
13473736,901,70.10480183723118,22,0.23108508013101803,0.13877446136784055,POS,Food,FR,0
8501952,182,1.0,20,0.7225139908414243,0.045762869898425054,POS,Clothing,DE,1
12018841,624,61.68624623325308,9,0.19790625920854574,0.2771724586517491,QR,Travel,US,0
12061887,443,89.03597935606028,10,0.1375057084870708,0.032335296208348345,ATM,Food,DE,0
6540286,213,60.69029709441072,14,0.09626926129988697,0.15398632985570432,QR,Clothing,UK,0
12265879,234,129.48278261201492,10,0.046503056155949164,0.03966011340418527,ATM,Grocery,DE,0
10908797,284,47.71361254514342,21,0.14514603646228405,0.17002657158792897,ATM,Food,TR,0
13394046,559,65.41089248209859,20,0.03592991605129139,0.2740656052324912,QR,Travel,US,0
14902682,557,37.11736439476739,22,0.1194543624958237,0.1455638620025331,QR,Food,FR,0
6996079,342,1.0,17,0.08923863415843443,0.08547072895559088,QR,Electronics,US,0
12200616,890,82.17793780074877,13,0.7469880367222619,0.03646895175616739,QR,Food,DE,0
10818285,430,86.50948736076136,20,0.27225947958995766,0.1315654796949323,POS,Travel,UK,0
5363917,625,101.18455816566879,16,0.0061144697267645105,0.2511406530044852,QR,Clothing,UK,0
6699504,705,21.715582836887407,15,0.009142209574647911,0.1352882505590593,QR,Electronics,US,0
2431266,525,106.62250612972379,8,0.27465995903190804,0.1547121859440563,QR,Food,US,0
3591172,386,21.73973128044703,16,0.03815703256249837,0.22022172367276155,Online,Electronics,US,0
9481462,336,88.144654089809,18,0.11933848418951845,0.24178775790069362,ATM,Electronics,TR,0
12591094,584,1089.4199223804212,22,0.7668655651809595,0.910126091377623,ATM,Grocery,UK,1
11422113,111,108.52142603049235,20,0.016097652310946484,0.15358758130141123,QR,Clothing,US,0
16721683,911,1733.370330850718,5,0.7615205746799201,0.9021665885245261,POS,Electronics,US,1
14948001,600,79.97809214770541,17,0.036918967314083,0.06141713840780623,ATM,Grocery,TR,0
6330175,826,110.04882473002957,8,0.13250255267583064,0.16679178420196997,ATM,Grocery,TR,0
12008699,526,85.84967539193875,20,0.022901329210385096,0.1574267675446084,ATM,Electronics,UK,0
16403005,601,6.64511906756988,15,0.0014041918606656628,0.06587997656249453,Online,Electronics,TR,0
3171140,269,35.66263019535546,18,0.07364569589106681,0.2832769645786907,ATM,Electronics,FR,0
11590704,456,83.2815041491026,16,0.2699602379978458,0.007914401754408412,QR,Grocery,TR,0
1672336,411,59.72095465437426,18,0.22402369719120532,0.1457079048227683,QR,Travel,FR,0
12361645,123,149.85291000433983,12,0.1740051306945807,0.011231947955859883,POS,Electronics,FR,0
11568751,61,2230.674845638018,6,0.7786806530969994,0.8569090373594642,ATM,Electronics,US,1
301570,197,74.8871232421863,10,0.21794141242448817,0.26935512333754014,QR,Travel,TR,0
11136837,706,115.94997458834355,13,0.09532580731187014,0.19474700653080065,ATM,Electronics,FR,0
3771836,796,60.105594981797324,7,0.11357456252414158,0.1334931650159273,QR,Travel,TR,0
5354259,163,62.60767164945956,15,0.021292524177609778,0.06678273730925635,POS,Clothing,TR,0
16136967,208,129.42583362896576,22,0.08470636402863277,0.01768169425233654,QR,Clothing,UK,0
13746990,811,24.156508775418473,19,0.032838573902852254,0.1836296109119662,Online,Electronics,US,0
6633288,694,2225.000379846975,16,0.8320759481532369,0.9006884619137293,Online,Grocery,US,1
15703494,645,36.707153409604835,15,0.01995505045317346,0.19447049750525694,QR,Electronics,TR,0
4948994,89,99.2827530629113,6,0.13348562847171147,0.009728691212834616,ATM,Food,TR,0
9726617,246,83.52177531732514,6,0.17118215119242253,0.05618411126648809,POS,Travel,DE,1
10123941,482,2899.5130493323795,6,0.7362847056427871,0.848907821420202,POS,Travel,US,1
5269006,400,81.74182432669295,20,0.006627773518445422,0.04454105447640675,ATM,Electronics,TR,0
9765694,915,1871.4291754080612,4,0.83171528162656,0.8600068359580955,QR,Electronics,DE,1
16013081,414,89.31466050729533,15,0.7824034222493896,0.05812930033507287,QR,Electronics,FR,0
7338691,921,1.0,14,0.7750017335604374,0.8126287073906532,Online,Food,US,1
13691287,972,59.488532236994814,18,0.17256021876291336,0.04507618288014428,POS,Electronics,TR,0
3757229,292,165.75290879128107,13,0.06255657855117253,0.21724703927336106,ATM,Electronics,US,0
12559221,799,33.90561618174051,23,0.09589215607326344,0.2122327755282303,QR,Food,DE,0
15925858,379,39.998693951991214,22,0.21662851154627463,0.26573879606306217,QR,Travel,US,0
2997720,332,2506.310291942538,7,0.7965154437658518,0.8341362407033717,POS,Electronics,US,1
9166000,525,77.29742146025654,7,0.06637933953270324,0.11794452218662732,QR,Travel,FR,0
1001355,187,60.75544190652245,16,0.24823793810115768,0.19307167294835412,ATM,Travel,TR,0
3150929,877,13.754647825437274,15,0.07113522236571568,0.23648470473958721,QR,Travel,DE,0
16081997,437,31.175955123281383,22,0.15920329738566721,0.22075744838643757,POS,Electronics,TR,0
6191069,793,72.83284386188599,17,0.0688875187555324,0.18193185034176282,Online,Electronics,DE,0
11071243,632,92.57157035901346,10,0.0408175043591341,0.1069297847847834,Online,Grocery,FR,0
6130162,463,2824.116342861629,10,0.834290055465204,0.8842679582717163,ATM,Travel,NG,1
6252272,408,108.36801255511702,14,0.09160051617540926,0.15143468840054491,QR,Grocery,US,0
11240849,527,66.23209909678059,20,0.19736100683829447,0.13857104163040096,ATM,Grocery,TR,0
244141,449,85.91851744115299,13,0.07228975529576076,0.01796756844866476,ATM,Travel,UK,0
11932895,728,112.1442472788228,22,0.11713790952159567,0.21360674592818946,ATM,Travel,UK,0
11568369,455,109.64908030558102,6,0.042105602845840986,0.11711928595469238,QR,Clothing,FR,0
395999,795,33.63227229877609,14,0.7923975112228717,0.02006925204458773,POS,Food,TR,0
10163964,125,5.454251305421494,17,0.056880107238263825,0.1127532062740108,QR,Electronics,TR,0
2714650,546,57.04297326723564,20,0.13484338480806102,0.1577205883621714,QR,Electronics,TR,0
12894078,715,57.70833260812532,17,0.05034844968759867,0.12852705317912894,ATM,Travel,TR,0
8591857,730,32.77992314360941,8,0.08977734018827124,0.161407253917832,ATM,Food,UK,0
14583773,443,5.4812243818827255,12,3.0274785175044003e-05,0.14610082952464912,POS,Travel,FR,0
8378341,502,68.19260270723022,18,0.2557356495572077,0.057873270942355254,QR,Food,US,0
6081794,451,63.65515364060898,19,0.13699199040562499,0.12240060833693522,ATM,Grocery,US,0
6240395,479,70.81729740447378,16,0.05656102640602882,0.16518939278911776,POS,Electronics,DE,0
2447212,801,61.818189387131426,16,0.0013647568037897934,0.13296291366592272,ATM,Clothing,TR,0
2543487,911,101.0882124272383,17,0.2219962569492125,0.20571978723758952,ATM,Grocery,FR,1
15720750,527,1.0,20,0.07573865841191028,0.21578604463094947,QR,Grocery,US,0
13245226,532,40.69876070470169,16,0.19138209036796106,0.13155087830590037,QR,Grocery,TR,0
14190454,145,101.64764666460519,19,0.15759740109794154,0.16636709626708177,QR,Food,DE,0
13650228,578,74.43384465240415,13,0.18325059506240504,0.1452548688013169,ATM,Grocery,FR,0
2725969,281,881.900535487285,4,0.6468561221155782,0.9996026492679309,Online,Grocery,US,1
5090729,733,63.93003879351368,11,0.22150381688877474,0.14940926311713457,QR,Grocery,UK,0
10273084,182,97.38531521368988,16,0.17099742034293114,0.025275516947190546,POS,Electronics,FR,0
7410793,896,64.37020757367408,17,3.0274785175044003e-05,0.16040476775114676,Online,Clothing,TR,0
2048632,612,81.25870175672318,12,0.08893180278746082,0.15704792976297247,ATM,Travel,UK,0
11670933,174,106.47376926720483,14,0.16505263089327069,0.19981797702010948,POS,Food,DE,0
12602102,824,12.380399820508188,17,0.13864856930703084,0.12256891073022835,QR,Grocery,TR,0
15294533,627,91.63701323464724,21,0.13675474675041271,0.02675801300408838,POS,Grocery,DE,0
14572514,192,65.61536275336415,17,0.026155582451855626,0.1169567331787413,POS,Electronics,UK,0
1849278,607,101.71062486815322,17,0.023204534642893918,0.014971945064076982,ATM,Electronics,TR,0
13853663,185,1929.9734181445024,3,0.7975295108062516,0.7910808812597753,Online,Travel,US,1
5699325,123,141.29338786908485,17,0.06971617717047529,0.03480277436200352,QR,Travel,FR,0
12560771,214,59.76114089403655,11,0.147121981652085,0.051824878239292854,Online,Travel,FR,0
7721193,658,111.78941846721496,17,0.07721129590713056,0.13991608706948455,QR,Electronics,FR,0
5830965,144,117.92351685005968,16,0.08774379169906721,0.0482708583382725,QR,Travel,US,0
