transaction_id,customer_id,transaction_datetime,country,channel,merchant_category,amount,device_trust_score,num_txn_24h_customer,previous_chargeback_count,is_fraud,transaction_note,txn_hour,txn_dayofweek,txn_week,is_weekend,is_night,prev_txn_time,txn_gap_minutes,txn_7d_count,txn_hour_count,txn_dayofweek_count,customer_mean_amount,customer_std_amount,amount_z_customer,is_risky_country,low_device_trust,high_amount_z
998,1000,2022-10-05 15:13:00,US,mobile_app,luxury,672.47,23.0,2,3,0,new device,15,2,40,0,0,,-1.0,,1,2,1931.2833333333335,1662.0793696423843,-0.7573725757778834,0,0,0
953,1000,2023-02-05 06:18:18,US,web,gaming,2593.31,84.0,0,0,1,overnight shipping,6,6,5,1,0,2022-10-05 15:13:00,176585.3,,1,2,1931.2833333333335,1662.0793696423843,0.39831230611394275,0,0,0
94,1000,2023-03-23 18:04:02,US,pos_terminal,electronics,302.22,70.0,3,1,0,high value item,18,3,12,0,0,2023-02-05 06:18:18,66945.73333333334,,1,2,1931.2833333333335,1662.0793696423843,-0.9801357041594502,0,0,0
457,1000,2023-04-05 00:14:27,US,mobile_app,gaming,4395.07,24.0,0,2,0,repeat purchase,0,2,14,0,1,2023-03-23 18:04:02,17650.416666666668,,1,2,1931.2833333333335,1662.0793696423843,1.4823519933327722,0,0,0
1199,1000,2023-07-13 02:02:46,US,mobile_app,luxury,579.99,23.0,1,0,0,overnight shipping,2,3,28,0,1,2023-04-05 00:14:27,142668.31666666668,,1,2,1931.2833333333335,1662.0793696423843,-0.8130137212545271,0,0,0
838,1000,2023-10-08 07:42:45,US,web,electronics,3044.64,85.0,6,3,0,first time merchant,7,6,40,1,0,2023-07-13 02:02:46,125619.98333333334,,1,2,1931.2833333333335,1662.0793696423843,0.6698577017451447,0,0,0
1060,1001,2022-02-24 11:36:47,MY,pos_terminal,groceries,4158.43,44.0,4,2,0,No transaction note found,11,3,8,0,0,,-1.0,,1,2,2272.528,1833.6564979262916,1.0284925241629466,1,0,0
356,1001,2023-05-18 15:21:18,MY,web,gaming,3774.47,95.0,6,3,0,VPN suspected,15,3,20,0,0,2022-02-24 11:36:47,645344.5166666667,,1,2,2272.528,1833.6564979262916,0.8190967074250645,1,0,0
897,1001,2023-07-31 21:21:59,AU,pos_terminal,travel,2715.61,82.0,0,3,0,new device,21,0,31,0,0,2023-05-18 15:21:18,106920.68333333333,,1,1,2272.528,1833.6564979262916,0.24163849690554806,0,0,0
742,1001,2023-10-08 14:05:08,MY,pos_terminal,travel,583.35,73.0,4,2,0,No transaction note found,14,6,40,1,0,2023-07-31 21:21:59,98923.15,,1,1,2272.528,1833.6564979262916,-0.921207435476773,1,0,0
341,1001,2024-12-13 18:11:26,CN,mobile_app,electronics,130.78,25.0,4,0,0,repeat purchase,18,4,50,0,0,2023-10-08 14:05:08,622326.3,,1,1,2272.528,1833.6564979262916,-1.1680202930167853,0,0,0
1002,1002,2022-01-26 19:58:07,AU,web,travel,4366.86,33.0,3,2,0,overnight shipping,19,2,4,0,0,,-1.0,,1,1,1880.7033333333331,1549.1080912463412,1.6048955400306633,0,0,0
241,1002,2022-05-17 12:42:17,DE,pos_terminal,gaming,96.37,93.0,3,0,0,first time merchant,12,1,20,0,0,2022-01-26 19:58:07,159404.16666666666,,1,2,1880.7033333333331,1549.1080912463412,-1.1518455964539829,0,0,0
895,1002,2022-05-30 15:13:24,DE,web,luxury,529.73,33.0,5,1,0,overnight shipping,15,0,22,0,0,2022-05-17 12:42:17,18871.116666666665,,1,1,1880.7033333333331,1549.1080912463412,-0.8720975256454842,0,0,0
137,1002,2023-11-18 00:48:42,DE,pos_terminal,gaming,2649.54,72.0,1,5,0,first time merchant,0,5,46,1,1,2022-05-30 15:13:24,772415.3,,1,2,1880.7033333333331,1549.1080912463412,0.4963092446622599,0,0,0
1116,1002,2024-01-30 01:08:46,DE,pos_terminal,electronics,2145.25,89.0,0,1,0,new device,1,1,5,0,1,2023-11-18 00:48:42,105140.06666666667,,1,2,1880.7033333333331,1549.1080912463412,0.1707735361796637,0,0,0
39,1002,2024-08-10 09:43:34,DE,mobile_app,gaming,1496.47,42.0,2,3,0,VPN suspected,9,5,32,1,0,2024-01-30 01:08:46,278434.8,,1,2,1880.7033333333331,1549.1080912463412,-0.24803519877311894,0,0,0
530,1003,2022-09-12 09:36:42,CN,mobile_app,groceries,87.32,14.0,3,1,0,repeat purchase,9,0,37,0,0,,-1.0,,1,2,2505.9919999999997,1876.1370783933337,-1.289176589415991,0,0,0
133,1003,2022-10-09 22:00:10,CN,mobile_app,travel,4112.71,57.0,6,0,1,No transaction note found,22,6,40,1,0,2022-09-12 09:36:42,39623.46666666667,,1,2,2505.9919999999997,1876.1370783933337,0.8563969117736026,0,0,0
1115,1003,2022-10-10 23:24:04,CN,mobile_app,electronics,2431.32,67.0,3,0,0,VPN suspected,23,0,41,0,0,2022-10-09 22:00:10,1523.9,,1,2,2505.9919999999997,1876.1370783933337,-0.039800929718816914,0,0,0
